Dates,EMB US Equity,GLD US Equity,TLT US Equity,IYR US Equity,IGIB US Equity,IJH US Equity
2011/8/5,0.03696351,0.757247727,0.030919128,0.032518038,0.041441736,0.100909861
2011/8/8,0.034801462,0.775571903,0.030593789,0.02972445,0.040134293,0.089174102
2011/8/9,0.033804515,0.766619603,0.032165578,0.033958338,0.040059099,0.093392867
2011/8/10,0.033352724,0.774109665,0.032302519,0.032555824,0.039200593,0.088478674
2011/8/11,0.033701258,0.762244681,0.031453381,0.037442832,0.039573954,0.095583893
2011/8/12,0.034256245,0.759745006,0.032101785,0.036492366,0.040200431,0.097204166
2011/8/15,0.033834832,0.758394986,0.031049405,0.038016314,0.039893074,0.098811389
2011/8/16,0.033731755,0.761718746,0.031247748,0.036932757,0.039531588,0.096837406
2011/8/17,0.033689593,0.764149266,0.031690404,0.035487935,0.039336487,0.095646314
2011/8/18,0.032943983,0.77381615,0.032902164,0.033003125,0.038572371,0.088762208
2011/8/19,0.032742318,0.778996386,0.032310438,0.031412847,0.038211173,0.086326836
2011/8/22,0.032665048,0.783008325,0.030960394,0.030752702,0.037715482,0.08489805
2011/8/23,0.033995571,0.77078385,0.031728977,0.03229573,0.039057533,0.092138339
2011/8/24,0.035276396,0.760872538,0.031847949,0.033658009,0.040757137,0.09758797
2011/8/25,0.035347372,0.764110811,0.031961532,0.032159218,0.041045619,0.095375449
2011/8/26,0.03472851,0.766879439,0.030345968,0.032199937,0.040064838,0.095781307
2011/8/29,0.035188317,0.76026121,0.030278952,0.032038869,0.041357547,0.100875105
2011/8/30,0.034444688,0.76470408,0.030008311,0.031253326,0.04062988,0.098959716
2011/8/31,0.035108277,0.763604328,0.028713758,0.031638514,0.04096212,0.099973003
2011/9/1,0.035086692,0.765845457,0.029295342,0.030190129,0.041002302,0.098580078
2011/9/2,0.03457948,0.774897549,0.027251754,0.029192189,0.040312528,0.0937665
2011/9/5,0.03457948,0.774897549,0.027251754,0.029192189,0.040312528,0.0937665
2011/9/6,0.03454959,0.775656077,0.026546447,0.029353474,0.040493697,0.093400715
2011/9/7,0.035360635,0.765772374,0.028212437,0.030696548,0.04133832,0.098619685
2011/9/8,0.034779408,0.770088083,0.028722344,0.030456417,0.040636203,0.095317544
2011/9/9,0.034468313,0.771079456,0.029342809,0.030240883,0.042085555,0.092782985
2011/9/12,0.034909777,0.766871974,0.029156999,0.031205628,0.043147689,0.094707933
2011/9/13,0.034687402,0.767442248,0.02847601,0.031577826,0.042836078,0.094980436
2011/9/14,0.03467239,0.763714438,0.029862902,0.031839098,0.042926029,0.096985144
2011/9/15,0.035049143,0.758527125,0.029795437,0.032994369,0.04347398,0.100159947
2011/9/16,0.034664577,0.763540257,0.027557446,0.033250097,0.042786534,0.098201089
2011/9/19,0.034942567,0.76082246,0.028664962,0.034196573,0.043327432,0.098046006
2011/9/20,0.034571914,0.763313806,0.029793655,0.033924591,0.042891861,0.095504173
2011/9/21,0.034909597,0.765085713,0.031366494,0.031660891,0.043572137,0.093405167
2011/9/22,0.035075076,0.761982977,0.03449178,0.032291909,0.044325411,0.091832846
2011/9/23,0.035986207,0.751083848,0.035022761,0.034950924,0.046199,0.096757261
2011/9/26,0.035508216,0.74609253,0.035549157,0.036616159,0.046750602,0.099483336
2011/9/27,0.035153143,0.749562917,0.034368242,0.034581706,0.046221514,0.100112478
2011/9/28,0.035866758,0.745691218,0.03732332,0.034551034,0.047145277,0.099422392
2011/9/29,0.035962465,0.745753664,0.036986138,0.034023462,0.047066862,0.100207408
2011/9/30,0.03573976,0.74902744,0.0378542,0.033018981,0.047148138,0.097211481
2011/10/3,0.035077926,0.758030052,0.037830323,0.031261769,0.046738547,0.091061383
2011/10/4,0.035140327,0.751432104,0.038892703,0.032556951,0.047125601,0.094852314
2011/10/5,0.034842234,0.752531801,0.037946709,0.031844232,0.046860276,0.095974749
2011/10/6,0.034950777,0.750804167,0.03788318,0.032232927,0.046465837,0.097663111
2011/10/7,0.035192716,0.751687418,0.037544767,0.03124301,0.047282481,0.097049608
2011/10/10,0.034843844,0.751596753,0.036128285,0.033263098,0.045998297,0.098169722
2011/10/11,0.034953163,0.750683627,0.036487727,0.03255213,0.046495913,0.098827441
2011/10/12,0.034925302,0.749527964,0.037590919,0.032679047,0.046094534,0.099182234
2011/10/13,0.035170018,0.748176558,0.037989462,0.0325851,0.046287845,0.099791017
2011/10/14,0.035038161,0.748055565,0.036664925,0.033257514,0.046085575,0.10089826
2011/10/17,0.035372313,0.749567855,0.037816902,0.032101115,0.04644378,0.098698034
2011/10/18,0.035371815,0.744583748,0.039080546,0.03319069,0.046695539,0.101077663
2011/10/19,0.03579071,0.744300405,0.040194355,0.031844135,0.047279453,0.100590941
2011/10/20,0.036002146,0.740641737,0.041431954,0.032305171,0.047717876,0.101901116
2011/10/21,0.035643137,0.740635403,0.040543426,0.033018956,0.047268929,0.102890149
2011/10/24,0.035323028,0.739952307,0.038465269,0.035049785,0.046638206,0.104571405
2011/10/25,0.034529396,0.748524233,0.038468256,0.033294274,0.045606443,0.099577397
2011/10/26,0.034301538,0.749306688,0.038172696,0.033274748,0.045141651,0.099802679
2011/10/27,0.034093171,0.748300504,0.035550427,0.034569326,0.044572436,0.102914136
2011/10/28,0.034082582,0.7481063,0.035900135,0.034715918,0.044665811,0.102529254
2011/10/31,0.034507958,0.748684202,0.034958846,0.034661086,0.045956483,0.101231425
2011/11/1,0.034555603,0.750555305,0.035726086,0.035288806,0.045876856,0.097997342
2011/11/2,0.034405467,0.748228514,0.034694524,0.035747865,0.045528732,0.101394898
2011/11/3,0.034097566,0.748645611,0.033706701,0.035461719,0.04556265,0.102525753
2011/11/4,0.034495032,0.748608423,0.033876186,0.03481612,0.045216543,0.102987697
2011/11/7,0.033755949,0.756117974,0.031749544,0.033449572,0.044324373,0.100602588
2011/11/8,0.033787938,0.754199997,0.03131363,0.034176975,0.044077957,0.102443502
2011/11/9,0.034448614,0.7593034,0.030756065,0.032050481,0.044790662,0.098650777
2011/11/10,0.034729572,0.759083843,0.030417307,0.031944581,0.044846343,0.098978353
2011/11/11,0.034325119,0.759580079,0.029761175,0.032230993,0.044140006,0.099962629
2011/11/14,0.034862854,0.758811364,0.031201564,0.031546743,0.044335125,0.09924235
2011/11/15,0.034597922,0.757308494,0.031190955,0.032483447,0.044533953,0.099885229
2011/11/16,0.035037503,0.757486407,0.031472333,0.032297785,0.044571583,0.09913439
2011/11/17,0.035499178,0.756835283,0.032228689,0.031473356,0.045224547,0.098738946
2011/11/18,0.035457268,0.757257376,0.032300584,0.03184765,0.044949099,0.098188023
2011/11/21,0.03594259,0.754473412,0.033365622,0.031658782,0.045837784,0.098721811
2011/11/22,0.035299275,0.757510636,0.034773912,0.030297155,0.045387103,0.09673192
2011/11/23,0.035213054,0.76046404,0.034562927,0.029439616,0.045597967,0.094722395
2011/11/24,0.035213054,0.76046404,0.034562927,0.029439616,0.045597967,0.094722395
2011/11/25,0.035561291,0.760395056,0.033175775,0.029798538,0.045936482,0.095132858
2011/11/28,0.03515107,0.759859011,0.032622082,0.029547833,0.046303295,0.096516709
2011/11/29,0.03516885,0.760394785,0.032328855,0.029468666,0.046130146,0.096508698
2011/11/30,0.03439325,0.758443227,0.031964247,0.030819977,0.045330101,0.099049198
2011/12/1,0.034595205,0.760019785,0.032144586,0.030788854,0.045371805,0.097079764
2011/12/2,0.034861865,0.759404903,0.032532326,0.030780193,0.045572239,0.096848476
2011/12/5,0.035405068,0.75515638,0.032891896,0.03135514,0.046059451,0.099132065
2011/12/6,0.035502085,0.756093409,0.032574456,0.031557595,0.045790085,0.098482371
2011/12/7,0.035325136,0.755829492,0.033233236,0.032362445,0.045647508,0.097602183
2011/12/8,0.035821311,0.754680056,0.035176013,0.031037908,0.046522723,0.096761989
2011/12/9,0.03570325,0.752731315,0.034276227,0.032370748,0.046266895,0.098651565
2011/12/12,0.036767636,0.749509042,0.035338166,0.032003889,0.047327314,0.099053953
2011/12/13,0.037506512,0.746629211,0.036062061,0.032958914,0.048203266,0.098640036
2011/12/14,0.03844445,0.736964022,0.038816554,0.034000721,0.049444137,0.102330117
2011/12/15,0.038908883,0.733767349,0.037855208,0.035403465,0.049870286,0.104194809
2011/12/16,0.038465274,0.737450762,0.03763247,0.035800122,0.049346181,0.10130519
2011/12/19,0.038797771,0.738350268,0.036988334,0.03625782,0.049604815,0.100000992
2011/12/20,0.038780523,0.737252741,0.035930112,0.037299428,0.048773887,0.101963308
2011/12/21,0.039566826,0.73603484,0.036733241,0.03579903,0.049087837,0.102778225
2011/12/22,0.040113426,0.732572592,0.036151228,0.036575421,0.049832411,0.104754921
2011/12/23,0.04059225,0.731680667,0.035910956,0.036744091,0.049671746,0.10540029
2011/12/26,0.04059225,0.731680667,0.035910956,0.036744091,0.049671746,0.10540029
2011/12/27,0.04074945,0.728731648,0.036681833,0.037530227,0.050226755,0.106080088
2011/12/28,0.041444608,0.723589856,0.039164504,0.037645282,0.0519262,0.10622955
2011/12/29,0.041583183,0.721309533,0.039012102,0.038242965,0.052082815,0.107769401
2011/12/30,0.041326237,0.72359718,0.038835849,0.037826858,0.051801643,0.106612232
2012/1/2,0.041326237,0.72359718,0.038835849,0.037826858,0.051801643,0.106612232
2012/1/3,0.040138552,0.727670006,0.038573938,0.036312376,0.051175481,0.106129646
2012/1/4,0.040297383,0.732230639,0.036831243,0.033528816,0.051155393,0.105956526
2012/1/5,0.040011674,0.733080165,0.036162722,0.033773176,0.050800931,0.106171332
2012/1/6,0.039962936,0.732724262,0.036031181,0.033438634,0.051415391,0.106427596
2012/1/9,0.039687755,0.732207384,0.036370176,0.032766711,0.051551098,0.107416876
2012/1/10,0.03924361,0.734117353,0.0349883,0.032961075,0.050983595,0.107706067
2012/1/11,0.039000402,0.734507855,0.034568964,0.033185811,0.0512043,0.107532668
2012/1/12,0.03891513,0.735547472,0.034548157,0.033058695,0.050486221,0.107444325
2012/1/13,0.039077798,0.733736776,0.03464761,0.034224889,0.050901113,0.107411813
2012/1/16,0.039077798,0.733736776,0.03464761,0.034224889,0.050901113,0.107411813
2012/1/17,0.038972254,0.735531472,0.034581997,0.033408384,0.050650542,0.106855351
2012/1/18,0.039471778,0.734732731,0.033894072,0.033678786,0.050269879,0.107952754
2012/1/19,0.039596954,0.733443115,0.033447903,0.03410565,0.050244171,0.109162207
2012/1/20,0.039460419,0.732755157,0.035794547,0.034056511,0.049620759,0.108312606
2012/1/23,0.039466343,0.732898418,0.03560896,0.034303431,0.049561652,0.108161196
2012/1/24,0.039800109,0.731745308,0.034598019,0.034684857,0.049844265,0.109327442
2012/1/25,0.038895186,0.737746629,0.033631733,0.03400447,0.048151783,0.1075702
2012/1/26,0.038908006,0.737742283,0.034237014,0.034981086,0.047940408,0.106191203
2012/1/27,0.038624446,0.739876999,0.035059981,0.034510216,0.04673737,0.105190988
2012/1/30,0.03913777,0.737471043,0.035430418,0.035987518,0.046928295,0.105044956
2012/1/31,0.039088989,0.739220169,0.035527465,0.035418183,0.046493345,0.104251848
2012/2/1,0.039187714,0.735768243,0.034083307,0.036092197,0.04620799,0.10866055
2012/2/2,0.039015534,0.737807863,0.033827089,0.035595861,0.045723426,0.108030227
2012/2/3,0.039521814,0.732087968,0.033993802,0.036845655,0.045993652,0.111557109
2012/2/6,0.039967525,0.733451142,0.033879161,0.036740656,0.044108297,0.111853219
2012/2/7,0.03958706,0.73583029,0.033785377,0.036504685,0.043606367,0.110686221
